name,description,category,badge,featured,github_url,website,tags,readme_url
Cua,"MCP server for the Computer-Use Agent (CUA), allowing you to run CUA through Claude Desktop or other MCP clients.",Unknown,official,no,https://github.com/trycua/cua/tree/main/libs/mcp-server,/,,
Currents,Enable AI Agents to fix Playwright test failures reported to Currents.,Unknown,official,no,https://github.com/currents-dev/currents-mcp,/,,
Cycode,"Boost security in your dev lifecycle via SAST, SCA, Secrets & IaC scanning with Cycode.",Unknown,official,no,https://github.com/cycodehq/cycode-cli,/,,
Dacast MCP Live Stream Server,"Dacast MCP Live Stream Server connects your AI tools to Dacast’s live streaming and video hosting APIs, so you can create and manage live streams, playlists, thumbnails, and simulcasts using simple natural-language prompts.",Unknown,official,no,https://github.com/Dacast-Inc/mcp-server-public,/,,
DAISYS,Generate high-quality text-to-speech and text-to-voice outputs using the DAISYS platform.,Unknown,official,no,https://github.com/daisys-ai/daisys-mcp,/,,
Dart,"Interact with task, doc, and project data in Dart, an AI-native project management tool",Unknown,official,no,https://github.com/its-dart/dart-mcp-server,/,,
Dash0,"Navigate your OpenTelemetry resources, investigate incidents and query metrics, logs and traces on Dash0.",Unknown,official,no,https://github.com/dash0hq/mcp-dash0,/,,
DataWorks,"A Model Context Protocol (MCP) server that provides tools for AI, allowing it to interact with the DataWorks Open API through a standardized interface. This implementation is based on the Aliyun Open API and enables AI agents to perform cloud resources operations seamlessly.",Unknown,official,no,https://github.com/aliyun/alibabacloud-dataworks-mcp-server,/,,
dbt,"Official MCP server for dbt (data build tool) providing integration with dbt Core/Cloud CLI, project metadata discovery, model information, and semantic layer querying capabilities.",Unknown,official,no,https://github.com/dbt-labs/dbt-mcp,/,,
DealX,MCP Server for DealX platform,Unknown,official,no,https://github.com/DealExpress/mcp-server,/,,
Debugg AI,Enable your code gen agents to create & run 0-config end-to-end tests against new code changes in remote browsers via the Debugg AI testing platform.,Unknown,official,no,https://github.com/debugg-ai/debugg-ai-mcp,/,,
Decodo,Easy web data access. Simplified retrieval of information from websites and online sources.,Unknown,official,no,https://github.com/Decodo/decodo-mcp-server,/,,
DeepResearch,"Lightning-Fast, High-Accuracy Deep Research Agent 👉 8–10x faster 👉 Greater depth & accuracy 👉 Unlimited parallel runs",Unknown,official,no,https://github.com/OctagonAI/octagon-deep-research-mcp,/,,/servers/rakeshmenon/npmlens-mcp
DeepWiki by Devin,"Remote, no-auth MCP server providing AI-powered codebase context and answers",Unknown,official,no,,/,,
delinea-mcp,Official Delinea MCP server for the Delinea Secret Server and Platform APIs,Unknown,official,no,https://github.com/DelineaXPM/delinea-mcp,/,,
DevCycle,Turn your favourite AI tool into a feature management assistant. DevCycle's MCP works with your favourite coding assistant so you can create and monitor feature flags using natural language right in your workflow.,Unknown,official,no,,/,,
DevHub,Manage and utilize website content within the DevHub CMS platform,Unknown,official,no,https://github.com/devhub/devhub-cms-mcp,/,,
Devopness,"Devopness MCP server for DevOps happiness! Empower AI Agents to deploy apps and infra, to any cloud.",Unknown,official,no,https://github.com/devopness/devopness,/,,
DexPaprika,"Access real-time DEX analytics across 20+ blockchains with DexPaprika API, tracking 5M+ tokens, pools, volumes, and historical market data. Built by CoinPaprika.",Unknown,official,no,https://github.com/coinpaprika/dexpaprika-mcp,/,,
Digma,"A code observability MCP enabling dynamic code analysis based on OTEL/APM data to assist in code reviews, issues identification and fix, highlighting risky code etc.",Unknown,official,no,https://github.com/digma-ai/digma-mcp-server,/,,
DINO-X,"Advanced computer vision and object detection MCP server powered by Dino-X, enabling AI agents to analyze images, detect objects, identify keypoints, and perform visual understanding tasks.",Unknown,official,no,https://github.com/IDEA-Research/DINO-X-MCP,/,,
DMARC MCP Server,"DMARC MCP Server provides programmatic read only access to DNS and email authentication data so developers and AI agents can validate DMARC, SPF, and DKIM configurations directly inside MCP compatible tools.",Unknown,official,no,,/,,
Drand,An MCP server for fetching verifiable random numbers from the drand network.,Unknown,official,no,https://github.com/randa-mu/drand-mcp-server,/,,
E2B,Run code in secure sandboxes hosted by E2B,Unknown,official,no,https://github.com/e2b-dev/mcp-server,/,,
EdgeOne Pages MCP,An MCP service for deploying HTML content to EdgeOne Pages and obtaining a publicly accessible URL.,Unknown,official,no,https://github.com/TencentEdgeOne/edgeone-pages-mcp,/,,
EduBase,"Interact with EduBase, a comprehensive e-learning platform with advanced quizzing, exam management, and content organization capabilities",Unknown,official,no,https://github.com/EduBase/MCP,/,,
Elastic Email MCP,"The Elastic Email MCP Server enables AI agents like GitHub Copilot, ChatGPT, Claude, and other compatible assistants to seamlessly integrate with your Elastic Email account.",Unknown,official,no,https://github.com,/,,
ELEMENT.FM,Create and publish unlimited podcast shows and episodes with ELEMENT.FM,Unknown,official,no,/servers/github-com-resend-mcp-send-email,/,,
